,experiment,episode,reward,step,epsilon
343,prioritized,343,617.0,40759,0.01
344,prioritized,344,252.0,40786,0.01
345,prioritized,345,808.0,40965,0.01
346,prioritized,346,1036.0,41147,0.01
347,prioritized,347,1691.0,41386,0.01
348,prioritized,348,759.0,41517,0.01
349,prioritized,349,246.0,41545,0.01
350,prioritized,350,237.0,41575,0.01
351,prioritized,351,247.0,41602,0.01
352,prioritized,352,627.0,41679,0.01
353,prioritized,353,236.0,41711,0.01
354,prioritized,354,212.0,41751,0.01
355,prioritized,355,1052.0,41949,0.01
356,prioritized,356,244.0,41978,0.01
357,prioritized,357,1289.0,42431,0.01
358,prioritized,358,789.0,42697,0.01
359,prioritized,359,1333.0,42907,0.01
360,prioritized,360,249.0,42934,0.01
361,prioritized,361,235.0,42966,0.01
362,prioritized,362,1310.0,43174,0.01
363,prioritized,363,230.0,43208,0.01
364,prioritized,364,1025.0,43419,0.01
365,prioritized,365,819.0,43540,0.01
366,prioritized,366,246.0,43568,0.01
367,prioritized,367,806.0,43700,0.01
368,prioritized,368,613.0,43770,0.01
369,prioritized,369,1341.0,43947,0.01
370,prioritized,370,599.0,44135,0.01
371,prioritized,371,629.0,44226,0.01
372,prioritized,372,630.0,44312,0.01
373,prioritized,373,1404.0,44629,0.01
374,prioritized,374,250.0,44656,0.01
375,prioritized,375,814.0,44803,0.01
376,prioritized,376,621.0,44919,0.01
377,prioritized,377,635.0,44994,0.01
378,prioritized,378,250.0,45021,0.01
379,prioritized,379,804.0,45150,0.01
380,prioritized,380,641.0,45283,0.01
381,prioritized,381,250.0,45310,0.01
382,prioritized,382,626.0,45404,0.01
383,prioritized,383,249.0,45432,0.01
384,prioritized,384,608.0,45516,0.01
385,prioritized,385,243.0,45544,0.01
386,prioritized,386,252.0,45571,0.01
387,prioritized,387,1832.0,45823,0.01
388,prioritized,388,235.0,45855,0.01
389,prioritized,389,232.0,45889,0.01
390,prioritized,390,856.0,46963,0.01
391,prioritized,391,252.0,46990,0.01
392,prioritized,392,245.0,47019,0.01
393,prioritized,393,1422.0,47195,0.01
394,prioritized,394,816.0,47333,0.01
395,prioritized,395,1303.0,47673,0.01
396,prioritized,396,586.0,47780,0.01
397,prioritized,397,778.0,47919,0.01
398,prioritized,398,252.0,47946,0.01
399,prioritized,399,246.0,47974,0.01
400,prioritized,400,598.0,48183,0.01
401,prioritized,401,245.0,48211,0.01
402,prioritized,402,252.0,48238,0.01
403,prioritized,403,749.0,48614,0.01
404,prioritized,404,1384.0,48943,0.01
405,prioritized,405,234.0,48975,0.01
406,prioritized,406,241.0,49005,0.01
407,prioritized,407,1879.0,49369,0.01
408,prioritized,408,245.0,49399,0.01
409,prioritized,409,652.0,49476,0.01
410,prioritized,410,248.0,49504,0.01
411,prioritized,411,654.0,49574,0.01
412,prioritized,412,777.0,49703,0.01
413,prioritized,413,591.0,49868,0.01
414,prioritized,414,615.0,49959,0.01
415,prioritized,415,630.0,50041,0.01
416,prioritized,416,621.0,50154,0.01
417,prioritized,417,753.0,50326,0.01
418,prioritized,418,234.0,50359,0.01
419,prioritized,419,610.0,50422,0.01
420,prioritized,420,606.0,50522,0.01
421,prioritized,421,1039.0,50726,0.01
422,prioritized,422,244.0,50754,0.01
423,prioritized,423,605.0,50827,0.01
424,prioritized,424,635.0,50989,0.01
425,prioritized,425,1352.0,51126,0.01
426,prioritized,426,812.0,51285,0.01
